21,"1984","Наукова фантастика","Джордж Орвелл","Антиутопія про диктатурний світ майбутнього","","false","false"
22,"Срібний гобіт","Фентезі","Дж. Р. Р. Толкін","Пригоди хоббіта Більбо Беггінса у пошуках скарбу","","false","false"
23,"Малюк Гаврош","Роман","Віктор Гюго","Роман про життя бідолахи Гавроша в Парижі 19-го століття","","false","false"
24,"Батьківщина","Епос","Іван Франко","Епос про історію та боротьбу українського народу за свою незалежність","","false","false"
25,"Машина часу","Наукова фантастика","Герберт Уеллс","Наукова фантастика про подорож у майбутнє і минуле","","false","false"
26,"Симфонія вічності","Наукова фантастика","Ісаак Азімов","Наукова фантастика про життя на космічному кораблі протягом багатьох поколінь","","false","false"
27,"Майстер класу","Драма","Антон П. Чехов","Драма про театральний майстер клас і життя акторів","","false","false"
28,"Пісня льоду і вогню","Фентезі","Джордж Мартін","Серія фентезійних романів про інтриги та боротьбу за владу у Вестеросі","","false","false"
29,"Тихий Дон","Роман","Михаїл Шолохов","Роман про події під час Громадянської війни в Росії","","false","false"
30,"Тіні забутих предків","Фентезі","Карлос Руїс Сафон","Фентезі про книжкову крамницю і таємницю, яка прихована в старих книгах","","false","false"
31,"Монте-Крісто","Пригоди","Александр Дюма","Пригодницький роман про помсту та відправку на остров Монте-Крісто","","false","false"
32,"Містер Нободі","Філософська проза","Курт Воннегут","Філософська проза про безглузде життя і сенс буття","","false","false"
33,"Один вдома","Гумор","Джон Грішем","Гумористична повість про пригоди хлопчика, який залишився вдома без дорослих","","false","false"
34,"Сторожова застава","Фентезі","Террі Пратчетт","Фентезі про Диск світ і пригоди сторожа Самуеля Ваймса","","false","false"
35,"Війна і мир","Роман","Лев Толстой","Великий історичний роман про війну та мир в Росії","","false","false"
36,"Маленький лорд Фаунтлерой","Дитяча література","Френсіс Годон Бернетт","Дитяча казка про маленького лорда і його долю","","false","false"
37,"Парфумер: історія вбивці","Роман","Патрік Зюскінд","Роман про парфумера, який шукає ідеальний аромат, та злочини, які він скоює","","false","false"
38,"Злодійка книг","Драма","Маркус Зузак","Драма про дівчинку Лізель, яка краде книги під час Другої світової війни","","false","false"
39,"Червоне та чорне","Роман","Стендаль","Роман про амбіції і зламані серця молодого Жульєна Сореля","","false","false"
40,"Золото","Пригоди","Джон Стейнбек","Пригодницький роман про пошук золота під час Золотої лихоманки","","false","false"
41,"Чоловік із золотою рукою","Детектив","Деш Хамметт","Детектив про приватного детектива Сема Спейда та загадковий сюжет","","false","false"
42,"Сімнадцять мить весни","Історичний роман","Юлій Дунайцев-Герштейн","Роман про життя і діяльність радянського агента в нацистській Німеччині","","false","false"
43,"Джейн Ейр","Роман","Шарлотта Бронте","Роман про дівчину Джейн Ейр і її пошук кохання та справедливості.","","false","false"
44,"Ангел вбивства","Трилер","Джеймс Паттерсон","Трилер про жінку-журналістку, яка розслідує серійні вбивства.","","false","false"
45,"Дракула","Жахи","Брам Стокер","Жахливий роман про вампіра Дракулу та його полювання на людей.","","false","false"
46,"Містери мрії","Наукова фантастика","Філіп К. Дік","Наукова фантастика про реальність та сюрреалістичні сні.","","false","false"
47,"Помни мене","Драма","Ніколас Спаркс","Роман про кохання та забуття в умовах Альцгеймера.","","false","false"
48,"Війна зі сонцем","Фентезі","Річард Джордан","Фентезі про боротьбу світла та темряви в умовах апокаліпсису.","","false","false"
49,"Злодійка книг","Драма","Маркус Зузак","Драма про дівчинку Лізель, яка краде книги під час Другої світової війни","","false","false"
